字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
一,it7,於悉,影,質,入,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,i
乙,it7,於筆,影,質,入,開,臻,重钮三等,,,,,,,,,,,,,,,,,,,an
二,nji5,而至,日,脂,去,開,止,三等,,,,,,,,,,,,,,,,,,,ioo
十,zip7,是執,禪,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,ok
丁,dian1,當經,端,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,en
廠,tshioong4,尺亮,昌,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,eik
七,tshit7,親吉,清,質,入,開,臻,三等,,,,,,,,,,,,,,,,,,,ak
蔔,bok7,蒲北,並,德,入,開,曾,一等,,,,,,,,,,,,,,,,,,,iu
人,njen2,如鄰,日,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
入,njip7,人執,日,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,a
八,bat7,博拔,幫,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,ia
九,giu4,舉有,見,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,uan
幾,gi4 gi1,居狶,見,微,上,開,止,三等,,,,,,,,,,,,,,,,,,,ien
幾,gi1,居依,見,微,平,開,止,三等,,,,,,,,,,,,,,,,,,,
兒,nji2,汝移,日,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,ui
了,lio3,盧鳥,來,蕭,上,開,效,四等,,,,,,,,,,,,,,,,,,,io
力,leik8,林直,來,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,u
乃,nai3,奴亥,泥,咍,上,開,蟹,一等,,,,,,,,,,,,,,,,,,,un
刀,dau1,都牢,端,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,o
又,iu5,都牢,云,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,ou
三,sam1,蘇甘,心,談,平,開,咸,一等,,,,,,,,,,,,,,,,,,,ieu
於,iv2,央居,影,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,jioo
幹,gang6,古案,見,寒,去,開,山,一等,,,,,,,,,,,,,,,,,,,ua
虧,khui1,去為,溪,支,平,合,止,重钮三等,,,,,,,,,,,,,,,,,,,ao
士,zi3,鉏里,崇,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,ii
工,gaong1,古紅,見,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,ei
土,tho4,他魯,透,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,德紅
才,zai2,昨哉,從,咍,平,開,蟹,一等,,,,,,,,,,,,,,,,,,,ie
寸,tshun6,倉困,清,魂,去,合,臻,一等,,,,,,,,,,,,,,,,,,,缉韵
下,a3 a5,胡雅,匣,麻,上,開,假,二等,,,,,,,,,,,,,,,,,,,iao
下,a5,胡駕,匣,麻,去,開,假,二等,,,,,,,,,,,,,,,,,,,iok
大,dai5,徒蓋,定,泰,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,uai
丈,dzioong3,直兩,澄,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,ouk
與,iv3 iv5 iv2,余吕,以,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
與,iv5,羊洳,以,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,nien
與,iv2,以諸,以,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,iouk
萬,muan5,無販,微,元,去,合,山,三等,,,,,,,,,,,,,,,,,,,iuen
上,zioong5 zioong3,時亮,禪,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,uen
上,zioong3,時掌,禪,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,ian
小,sieu4,私兆,心,宵,上,開,效,三等,,,,,,,,,,,,,,,,,,,ieik
口,kheu4,苦後,溪,侯,上,開,流,一等,,,,,,,,,,,,,,,,,,,au
巾,gen1,居銀,見,真,平,開,臻,重钮三等,,,,,,,,,,,,,,,,,,,iak
山,sang1,所閒,生,山,平,開,山,二等,,,,,,,,,,,,,,,,,,,nao
千,tshien1,蒼先,清,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,na
乞,khut7,去訖,溪,迄,入,開,臻,三等,,,,,,,,,,,,,,,,,,,ai
川,tshuen1,昌縁,昌,仙,平,合,山,三等,,,,,,,,,,,,,,,,,,,ji
億,ieik8,於力,影,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,ko
個,ga6,古賀,見,歌,去,開,果,一等,,,,,,,,,,,,,,,,,,,niu
勺,ziok7,市若,禪,藥,入,開,宕,三等,,,,,,,,,,,,,,,,,,,ni
九,giu4,舉有,見,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,j
凡,vang2,符咸,奉,凡,平,合,咸,三等,,,,,,,,,,,,,,,,,,,jia
及,gip7,其立,群,緝,入,開,深,重钮三等,,,,,,,,,,,,,,,,,,,nieu
夕,zeik8,祥易,邪,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,no
丸,uang2,胡官,匣,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,jiu
